2017-04-07 01:56:11,042 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-07 01:56:11,043 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-07 01:56:11,043 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/akarsh/workspace/YouTubeDataAnalysis/youtubesentimentalanalysis/src/test/resources
2017-04-07 01:56:21,219 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-07 01:56:21,220 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-04-07 01:56:21,221 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-07 01:56:21,230 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/akarsh/workspace/YouTubeDataAnalysis/youtubesentimentalanalysis/src/test/resources
2017-04-07 01:57:22,221 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-07 01:57:22,230 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-04-07 01:57:22,238 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-07 01:57:22,238 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/akarsh/workspace/YouTubeDataAnalysis/youtubesentimentalanalysis/src/test/resources
2017-04-07 01:57:50,160 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-07 01:57:50,161 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-04-07 01:57:50,189 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-07 01:57:50,189 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/akarsh/workspace/YouTubeDataAnalysis/youtubesentimentalanalysis/src/test/resources
2017-04-07 02:07:33,708 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-07 02:07:33,709 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-04-07 02:07:33,734 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-07 02:07:33,736 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/akarsh/workspace/YouTubeDataAnalysis/youtubesentimentalanalysis/src/test/resources
2017-04-07 02:08:57,909 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-07 02:08:57,910 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-04-07 02:08:57,911 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-07 02:08:57,911 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/akarsh/workspace/YouTubeDataAnalysis/youtubesentimentalanalysis/src/test/resources
2017-04-07 02:12:53,170 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-07 02:12:53,171 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-04-07 02:12:53,172 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-07 02:12:53,173 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/akarsh/workspace/YouTubeDataAnalysis/youtubesentimentalanalysis/src/test/resources
